Mixture	Endothelial	CAFs	PVL	B-cells	T-cells	Myeloid	Normal Epithelial	Plasmablasts	Cancer Epithelial	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA-AR-A251	1.01240209698993	1.24704396006469	0.610066919523136	0	0	0.105656947681545	2.20948689770727	0.632415771874884	1.51868320109702	0	0.32408319879734	0.971280083113806	7.33575579493848
TCGA-AR-A256	0.441998959777413	0.618468031384703	0.18667001445055	0	0	0.320167862429471	3.70805729984954	0	2.25220986181846	0	0.325671877175863	0.976598172673077	7.52757202971013
TCGA-AR-A5QQ	0.808022527303836	1.81293956872773	0.774162983633686	0	0.310298027459244	2.38856394712559	0.7065143127425	0.81046287831932	1.11033555096333	0	0.334986369085601	0.972693111120536	8.72129979627523
TCGA-B6-A0I1	0.105667365309218	0.047770842777094	0.3300417804071	0	0	0	4.5935883335171	0.487965392883069	1.61338300153639	0	0.423037287815731	0.927339600160515	7.17841671642997
TCGA-B6-A0I2	0.501987940036759	0.318065004833622	0.201926308789515	0	0.445750876645362	0.950023232274016	1.80798278165448	1.04192327562751	2.27748497748913	0	0.245007288727536	0.985143050540595	7.54514439735039
TCGA-B6-A0IJ	0.180876254047828	0.260842999830618	0.574557063684323	0	0.0691705921573533	1.97784231412908	1.46785806611947	1.09067043629194	1.88023736556645	0	0.276921780985477	0.978819714029003	7.50205509182707
TCGA-B6-A0IQ	0.21184981191236	0.51790548354121	0.884185096985721	0	0	0.105501031084558	2.28948730177701	0.300637971224201	2.59311857292743	0	0.278479175706924	0.997013786232679	6.90268526945249
TCGA-B6-A0RE	0.167039702878007	1.22087814385549	0.450315289282636	0	0	0.241760275472066	3.52612446687363	0.149242738133934	2.08253655515268	0	0.548477407273865	0.837273222390867	7.83789717164844
TCGA-B6-A0RT	0.720275592844666	1.43004443340749	0.23098624945767	0.370303604618659	1.48926056068694	1.50274529058308	0.361735052937564	0.794113733137942	0.414156227553583	0	0.446343865208357	0.896302228275678	7.3136207452276
TCGA-B6-A0RU	1.05954073239861	1.59677845394202	0.93736901651317	0	0	0	2.49018646873311	0.512980249271193	0.958845917221291	0	0.472327834043883	0.893117120584871	7.5557008380794
TCGA-B6-A0WX	0.388069117472019	4.60035137230142	0.566052908720606	0	0	0.133747819556344	3.38683544469364	0.172559216120657	0.841186419381356	0	0.43721739584618	0.998297172743801	10.088802298246
TCGA-B6-A0X1	0.446277763864561	0.104923990667394	0.00908706490985349	0	0.0114100204873989	1.00157401012562	1.40374541440979	0.900225714123477	3.05797653589947	0	0.189532043888771	1.02129487804344	6.93522051448756
TCGA-B6-A1KF	0.969032040883845	1.05284566489574	0.535733060202891	0	0	0	3.38690151488049	0.136298060275817	2.14723304128117	0	0.264905152115382	1.00994602816208	8.22804338241995
TCGA-B6-A409	0.615389822824566	1.0527515881164	0.707335235630573	0	0	0.264217543703761	3.19348184002736	0.272878796533347	1.49690354953645	0	0.551577810377826	0.834341792424421	7.60295837637246
TCGA-BH-A0AV	0.942003490342169	5.83939083042617	1.18084653059366	0	0	0.201875059921769	2.50878060328094	0.178295828714021	0.842229564024127	0	0.388352277764549	1.07122073373718	11.6934219073029
TCGA-BH-A0B3	0.571439342673714	1.65865392164084	0.383965265478165	0	0	1.07177017536328	2.55956113715781	1.13805047127467	1.78004468490392	0	0.283839785642071	0.985440567678255	9.16348499849241
TCGA-BH-A0B9	0.268412216643379	0.249471392571092	0.168888157371887	0	0.275971956607149	0.676163494510646	2.95673251966913	0.194727596596369	2.07293472761375	0	0.367633148498607	0.940937896045217	6.8633020615834
TCGA-BH-A0BG	0.490552864593903	1.02551007081168	0.76434726858298	0.124630681450906	0.242147761759864	0.438412952364283	3.73531897626558	0.162560891981857	0.939705677642901	0	0.535541381283194	0.845144426494164	7.92318714545396
TCGA-BH-A0BL	1.38858293735474	3.84031458764783	1.00819139313598	0	0	0.899334203566311	1.90584733346926	0	0.863695493995415	0	0.460720575086232	0.947515758145035	9.90596594916953
TCGA-BH-A0BW	0.928357538909435	1.477322970196	0.421044147384517	0	0.141503105285869	1.4314599087252	2.37364480389549	0.452231342525756	0.926312930133945	0	0.309950602950113	0.977904433856063	8.15187674705622
TCGA-BH-A0DL	0.823194756234205	0.567398409823462	0	0	0	2.66642747027074	2.10546842975946	0.575091080209042	1.61096781406678	0	0.200022799843588	1.02602998303638	8.34854796036369
